scenario,request_source,station_id,station_name,latitude,longitude,seeds,requests_mean,failures_avoided_mean,failures_avoided_median,failures_avoided_p10,failures_avoided_p90,worsening_seeds,worsening_probability,improving_seeds,improving_probability,tied_seeds,p0_service_rate_mean,p2r_service_rate_mean,observed_baseline_failures_avoided,observed_baseline_worsened,new_worsening_under_latent,stability_class
low,observed,2341,일원역 4~5번 출구 사이,37.4833107,127.08493805,50,80,29.16,29.0,27,31,0,0.0,50,1.0,0,0.55425,0.91875,33,false,false,never_worsened
low,observed,2342,대청역 1번출구 뒤,37.49390793,127.07962036,50,171,9.14,9.0,6,11,0,0.0,50,1.0,0,0.926667,0.980117,9,false,false,never_worsened
low,observed,2344,리엔파크 2단지 앞,37.46506119,127.10119629,50,62,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2347,두산건설 본사,37.51863861,127.03540039,50,65,27.4,28.0,23,31,0,0.0,50,1.0,0,0.328616,0.750154,28,false,false,never_worsened
low,observed,2348,포스코사거리(기업은행),37.50723267,127.05685425,50,362,27.28,27.0,16,37,0,0.0,50,1.0,0,0.764696,0.840055,52,false,false,never_worsened
low,observed,2349,역삼빌딩 앞(하나은행 옆),37.50154495,127.03856659,50,46,15.42,15.0,13,18,0,0.0,50,1.0,0,0.529565,0.864783,16,false,false,never_worsened
low,observed,2350,래미안그레이튼102동앞,37.49482346,127.04790497,50,38,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2351,청소년수련관(수영장)앞,37.48387909,127.0890274,50,46,7.86,8.0,6,9,0,0.0,50,1.0,0,0.798261,0.969131,7,false,false,never_worsened
low,observed,2352,서울본부세관(건설회관 앞),37.51758957,127.03502655,50,81,24.2,24.5,20,28,0,0.0,50,1.0,0,0.371852,0.670617,28,false,false,never_worsened
low,observed,2353,강남구청역 2번출구 뒤,37.51681137,127.04047394,50,140,51.18,51.0,45,58,0,0.0,50,1.0,0,0.370286,0.735857,47,false,false,never_worsened
low,observed,2354,청담역 2번출구,37.51978683,127.0567627,50,33,14.14,15.0,9,18,0,0.0,50,1.0,0,0.36606,0.794546,19,false,false,never_worsened
low,observed,2356,강남구청,37.51807022,127.04711914,50,77,23.86,24.0,19,28,0,0.0,50,1.0,0,0.533767,0.843637,28,false,false,never_worsened
low,observed,2357,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),37.50166321,127.04297638,50,73,13.48,14.0,10,16,0,0.0,50,1.0,0,0.723562,0.908219,17,false,false,never_worsened
low,observed,2358,구룡초사거리 (현대아파트10동 앞 ),37.48138428,127.05391693,50,77,6.08,6.0,4,8,0,0.0,50,1.0,0,0.878961,0.957922,9,false,false,never_worsened
low,observed,2359,"국립국악중,고교 정문 맞은편",37.47560501,127.05037689,50,176,-0.3,0.0,-1,0,7,0.14,0,0.0,43,1.0,0.998295,0,false,true,intermittent_worsened
low,observed,2360,도곡1동 주민센터 교차로,37.4928093,127.04138947,50,125,2.58,3.0,0,5,4,0.08,42,0.84,4,0.93936,0.96,3,false,true,intermittent_worsened
low,observed,2362,신사동 가로수길 입구,37.51763535,127.02245331,50,78,-0.3,0.0,-1,0,13,0.26,0,0.0,37,1.0,0.996154,0,false,true,intermittent_worsened
low,observed,2363,강남 을지병원 교차로,37.51913834,127.02751923,50,44,-0.22,0.0,-1,0,11,0.22,0,0.0,39,1.0,0.995,0,false,true,intermittent_worsened
low,observed,2364,도산공원교차로,37.52124023,127.0318985,50,59,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2365,K+ 타워 앞,37.52330017,127.03847504,50,84,-0.86,-1.0,-2,0,26,0.52,0,0.0,24,1.0,0.989762,-1,true,false,intermittent_worsened
low,observed,2368,도곡동 경남아파트 건너편,37.48934174,127.04129791,50,67,12.36,13.0,8,16,0,0.0,50,1.0,0,0.592836,0.777313,23,false,false,never_worsened
low,observed,2369,KT선릉타워,37.50542831,127.0528717,50,155,14.94,15.0,11,17,0,0.0,50,1.0,0,0.876774,0.973161,16,false,false,never_worsened
low,observed,2370,한티역 3번출구,37.49655151,127.0542984,50,47,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2371,한국우편사업진흥원,37.51474762,127.03513336,50,59,29.0,29.0,25,33,0,0.0,50,1.0,0,0.309492,0.801017,36,false,false,never_worsened
low,observed,2372,대치역 사거리,37.49449921,127.063797,50,112,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2373,개포동역 사거리,37.48927689,127.06557465,50,57,5.16,5.0,4,6,0,0.0,50,1.0,0,0.898597,0.989123,5,false,false,never_worsened
low,observed,2375,수서역 1번출구 앞,37.48735046,127.10099792,50,169,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2376,수서역 6번출구 앞,37.48677826,127.10051727,50,179,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2377,수서역 5번출구,37.48735046,127.10232544,50,414,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2380,삼성동베이직하우스앞,37.51169586,127.04934692,50,54,11.72,12.0,10,13,0,0.0,50,1.0,0,0.756296,0.973333,11,false,false,never_worsened
low,observed,2381,언주역 6번출구앞,37.50780869,127.03498077,50,59,10.74,11.0,10,11,0,0.0,50,1.0,0,0.816271,0.998305,11,false,false,never_worsened
low,observed,2382,역삼동 sk뷰 501동앞,37.50122833,127.05036163,50,31,2.44,2.5,2,3,0,0.0,50,1.0,0,0.903871,0.982581,2,false,false,never_worsened
low,observed,2383,보금자리정원,37.46632767,127.09488678,50,42,0.78,0.5,-1,2,8,0.16,25,0.5,17,0.94619,0.964762,2,false,true,intermittent_worsened
