policy_label,policy_name,start,end_exclusive,stations,observed_requests,successful_rentals,failed_rentals,service_rate,failures_per_1000_requests,empty_station_minutes,empty_station_hours,empty_station_time_rate,decision_epochs,relocation_batches,relocation_actions,bikes_moved,max_bikes_moved_in_epoch,initial_station_bikes,unconditional_inbound_returns,successful_internal_returns,outbound_departures,in_transit_at_end,final_station_bikes,conservation_residual,stations_with_requests,p10_station_service_rate,worst_station_id,worst_station_name,worst_station_service_rate
P0 재배치 없음,no_relocation,2025-11-24T00:00:00,2025-11-29T00:00:00,167,16384,14479,1905,0.883728,116.272,236799.683,3946.661,0.196939,120,0,0,0,0,2138,3876,10300,4174,5,1835,0,167,0.540698,2405,청담공원앞 교차로,0.226744
P1 고정 임계값,static_threshold,2025-11-24T00:00:00,2025-11-29T00:00:00,167,16384,16186,198,0.987915,12.085,4074.317,67.905,0.003388,120,98,388,1637,40,2138,3876,11642,4538,6,1470,0,167,0.974026,2405,청담공원앞 교차로,0.802326
