station_id,station_name_2025,live_station_id,station_name_live,latitude,longitude,captured_at_utc,source
2348,포스코사거리(기업은행),ST-797,포스코사거리(기업은행),37.50723267,127.05685425,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2349,역삼빌딩 앞(하나은행 옆),ST-959,역삼빌딩 앞(하나은행 옆),37.50154495,127.03856659,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2350,래미안그레이튼102동앞,ST-960,래미안그레이튼102동앞,37.49482346,127.04790497,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2351,청소년수련관(수영장)앞,ST-937,청소년수련관(수영장)앞,37.48387909,127.0890274,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2352,서울본부세관(건설회관 앞),ST-962,서울본부세관(건설회관 앞),37.51758957,127.03502655,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2353,강남구청역 2번출구 뒤,ST-963,강남구청역 2번출구 뒤,37.51681137,127.04047394,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2354,청담역 2번출구,ST-953,청담역 2번출구,37.51978683,127.0567627,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2356,강남구청,ST-954,강남구청,37.51807022,127.04711914,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2357,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),ST-966,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),37.50166321,127.04297638,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2358,구룡초사거리 (현대아파트10동 앞 ),ST-957,구룡초사거리 (현대아파트10동 앞 ),37.48138428,127.05391693,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2359,"국립국악중,고교 정문 맞은편",ST-958,"국립국악중,고교 정문 맞은편",37.47560501,127.05037689,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2360,도곡1동 주민센터 교차로,ST-956,도곡1동 주민센터 교차로,37.4928093,127.04138947,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2362,신사동 가로수길 입구,ST-1171,신사동 가로수길 입구,37.51763535,127.02245331,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2363,강남 을지병원 교차로,ST-1172,강남 을지병원 교차로,37.51913834,127.02751923,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2364,도산공원교차로,ST-1173,도산공원교차로,37.52124023,127.0318985,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2365,K+ 타워 앞,ST-1174,K+ 타워 앞,37.52330017,127.03847504,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2368,도곡동 경남아파트 건너편,ST-1177,도곡동 경남아파트 건너편,37.48934174,127.04129791,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2369,KT선릉타워,ST-1178,KT선릉타워,37.50542831,127.0528717,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2370,한티역 3번출구,ST-1179,한티역 3번출구,37.49655151,127.0542984,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2371,한국우편사업진흥원,ST-1180,한국우편사업진흥원,37.51474762,127.03513336,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2372,대치역 사거리,ST-1181,대치역 사거리,37.49449921,127.063797,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2373,개포동역 사거리,ST-1182,개포동역 사거리,37.48927689,127.06557465,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2375,수서역 1번출구 앞,ST-1184,수서역 1번출구 앞,37.48735046,127.10099792,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2376,수서역 6번출구 앞,ST-1185,수서역 7번출구 앞,37.48677826,127.10051727,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2377,수서역 5번출구,ST-1186,수서역 5번출구,37.48735046,127.10232544,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2380,삼성동베이직하우스앞,ST-1245,봉은사로68길 북측,37.51169586,127.04934692,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2381,언주역 6번출구앞,ST-1246,언주역 4번출구,37.50780869,127.03498077,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2382,역삼동 sk뷰 501동앞,ST-1247,역삼동 sk뷰 501동앞,37.50122833,127.05036163,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2383,보금자리정원,ST-1248,보금자리정원,37.46632767,127.09488678,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2384,자곡사거리,ST-1364,자곡사거리,37.47602844,127.10594177,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2385,학동역,ST-1365,학동역,37.51395035,127.03015137,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2386,크린랩 본사,ST-1366,크린랩 본사,37.50958633,127.04090881,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2387,래미안강남힐즈 사거리,ST-1407,래미안강남힐즈 사거리,37.47245407,127.09607697,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2388,강남구 도시관리공단,ST-1433,강남구 도시관리공단,37.51678467,127.05161285,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2389,경기여자고등학교 후문 (삼성로3길 입구),ST-1559,경기여자고등학교 후문 (삼성로3길 입구),37.48616028,127.06723785,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2390,구룡마을 입구 (래미안블레스티지 아파트),ST-1560,구룡마을 입구 (래미안블레스티지 아파트),37.48088074,127.06304169,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2392,구룡산 입구 (구룡산 서울둘레길 입구),ST-1562,구룡산 입구 (구룡산 서울둘레길 입구),37.47447205,127.05545044,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2394,개포래미안포레스트아파트 107동 앞,ST-1564,개포래미안포레스트아파트 107동 앞,37.48025131,127.05419159,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2396,영동3교 북단(우성캐릭터 앞 보도),ST-1566,영동3교 북단(우성캐릭터 앞 보도),37.48574066,127.05104828,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2398,더라움,ST-1568,더라움,37.50811005,127.0394516,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2401,밀알학교 입구 (삼성서울병원 입구),ST-1571,밀알학교 입구 (삼성서울병원 입구),37.48656082,127.08267212,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2403,공무원연금매점 교차로 (개포주공9단지 입구),ST-1573,공무원연금매점 교차로 (개포주공9단지 입구),37.48871994,127.07453918,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2404,대모산입구역 4번 출구 앞,ST-1574,대모산입구역 4번 출구 앞,37.49180984,127.07315826,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2405,청담공원앞 교차로,ST-1575,청담공원앞 교차로,37.51871109,127.05084991,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2406,논현동 광명빌딩 앞,ST-1576,논현동 광명빌딩 앞,37.5175705,127.02364349,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2407,역삼서초삼성 세무서 앞 (역삼빌딩 앞,ST-1577,역삼서초삼성 세무서 앞 (역삼빌딩 앞),37.49847031,127.03011322,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2408,강남한양수자인아파트,ST-1578,강남한양수자인아파트,37.4773407,127.11327362,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2409,역삼동 디오슈페리움 (우성아파트 사거리),ST-1679,역삼동 디오슈페리움 (우성아파트 사거리),37.49206161,127.03074646,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2410,포스코피앤에스타워 (역삼역 3번출구 부근),ST-1680,포스코피앤에스타워 (역삼역 3번출구 부근),37.49959946,127.03375244,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2411,세곡동 성당,ST-1703,세곡동 성당,37.47296906,127.11222839,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2413,도곡역 1번 출구,ST-1879,도곡역 1번 출구,37.49095917,127.05498505,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2414,도곡역 아카데미스위트 앞,ST-1880,도곡역 아카데미스위트 앞,37.48897171,127.05182648,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2415,한티역 롯데백화점 앞,ST-1881,한티역 롯데백화점 앞,37.49667358,127.05342865,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2416,한티역 6번 출구,ST-1882,한티역 6번 출구,37.4958992,127.05219269,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2417,선정릉 디캠프(D.CAMP)앞,ST-1883,"선정릉 디캠프(D,CAMP)앞",37.50799942,127.04524994,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2418,봉은사역 7번 출구,ST-1884,봉은사역 7번 출구,37.51393509,127.05982208,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2419,"봉은사역 1,2번 출구",ST-1885,"봉은사역 1,2번 출구",37.51430893,127.05970001,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2420,학여울역 사거리(LG베스트샵 앞),ST-1886,학여울역 사거리(LG베스트샵 앞),37.49689484,127.07013702,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2422,수서동 성당 맞은편,ST-1888,수서동 성당 맞은편,37.48416901,127.09484863,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2423,영희초교 사거리(래미안개포루체하임),ST-1889,영희초교 사거리(래미안개포루체하임),37.4908371,127.08065033,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2425,세곡동 사거리(대왕초등학교 정류장),ST-1891,세곡동 사거리(대왕초등학교 정류장),37.46461868,127.10684967,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2426,강남한신휴플러스 6단지,ST-1892,강남한신휴플러스 6단지,37.46829605,127.10469818,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2427,개포고등학교 정문앞,ST-1893,개포고등학교 정문앞,37.48485184,127.0583725,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2430,강남파이낸스센터앞(역삼역2번출구),ST-1896,강남파이낸스센터앞(역삼역2번출구),37.50024414,127.03605652,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
2431,대치역 7번출구,ST-1897,대치역 7번출구,37.49411774,127.06290436,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
3602,한국지역난방공사강남지사,ST-2474,한국지역난방공사강남지사,37.49229431,127.09433746,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
3604,삼성중앙역 5번출구,ST-2671,삼성중앙역 5번출구,37.51296234,127.05386353,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
3606,신사동주민센터 옆,ST-2673,신사동주민센터 옆,37.52422714,127.02285004,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
3609,언주초등학교 입구,ST-2674,언주초등학교 입구,37.48536682,127.03849792,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
3610,윗반마을 입구,ST-2675,윗반마을 입구,37.46534729,127.1088028,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
3611,방죽마을 입구,ST-2676,방죽마을 입구,37.47123337,127.10721588,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
3614,은마아파트 입구 사거리,ST-2678,은마아파트 입구 사거리,37.49840164,127.06093597,2026-08-20T06:42:18.736160+00:00,Seoul Open Data live bike API
